e4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
c5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
d4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
cxd4 : {Piece : Pawn, moveFrom : d4, moveTo : c<noRank>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Qxd4 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : d4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Nc6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qd1 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : d1, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
e6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bb5 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : b5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nf6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : f6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nc3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
a6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : a6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bxc6 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : c6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
bxc6 : {Piece : Pawn, moveFrom : c6, moveTo : b<noRank>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Bg5 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : g5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
h6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : h6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bh4 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : h4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
g5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : g5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bg3 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : g3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bb4 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : b4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
f3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : f3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
O-O : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : <NoSquare>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : Short, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qd4 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : d4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qe7 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : e7, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
O-O-O : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : <NoSquare>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : Long, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nh5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : h5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bd6 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : d6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qxd6 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : d6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
