e4 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
e5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
c3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nf6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : f6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bd3 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : d3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
d5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
g3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : g3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bg4 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : g4, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qa4+ : {Piece : Queen, moveFrom : <NoSquare>, moveTo : a4, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qd7 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : d7, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qb3 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : b3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nc6 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : c6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
exd5 : {Piece : Pawn, moveFrom : d5, moveTo : e<noRank>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Ne7 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e7, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Qxb7 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : b7, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Qxb8 : {Piece : Queen, moveFrom : <NoSquare>, moveTo : b8, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Qxb8+ : {Piece : Queen, moveFrom : <NoSquare>, moveTo : b8, checkStatus : check, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Nxd5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : d5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
b3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : b3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Nxe5 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : e5, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : Capture, promotionStatus : NoPromotion}
Nf3 : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : f3, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
Bd6 : {Piece : Bishop, moveFrom : <NoSquare>, moveTo : d6, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : NoCastling, captureStatus : NoCapture, promotionStatus : NoPromotion}
O-O : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : <NoSquare>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : Short, captureStatus : NoCapture, promotionStatus : NoPromotion}
O-O : {Piece : Pawn, moveFrom : <NoSquare>, moveTo : <NoSquare>, checkStatus : nocheck, pawnPromotion : Pawn, castlingStatus : Short, captureStatus : NoCapture, promotionStatus : NoPromotion}
